                  1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37           38           39           40           41           42           43           44           45           46           47           48           49           50           51           52           53           54           55           56           57           58           59           60           61           62           63           64           65           66           67           68           69           70           71           72           73           74           75           76           77           78           79           80           81           82           83           84           85           86           87           88
195111        6.224        0.000        0.000        0.000        4.656        1.211        0.000        0.000        0.000        0.000        6.224       97.697        0.000        0.000        0.000       70.955       20.410        0.000        0.000        0.000        0.000       97.697       20.736       14.814       17.567       18.342       19.246       23.484       19.530       22.854       16.167       19.857       20.736       23.805     -999.000     -999.000     -999.000       21.926       26.921     -999.000     -999.000     -999.000     -999.000       23.805      122.829       19.072       20.040       18.696       17.179       73.067     5903.673     5634.268     5107.354     3659.763    19799.629      110.000       77.500     4985.933       17.013        2.817       18.645        3.179      147.000    26682.035     2337.032     2957.985      116.010       -3.047      -31.854        0.017       -0.017       -0.108        0.288       -0.054        0.227     -999.000        0.587       -0.019     -999.000        0.414        3.158        8.795        0.910       11.573       11.594       30.000        0.000        0.000
195112        1.174        0.000        0.000        0.000        1.174        0.000        0.000        0.000        0.000        0.000        1.174       15.333        0.000        0.000        0.000       15.333        0.000        0.000        0.000        0.000        0.000       15.333       18.263       13.299       15.388       15.374       17.666       14.188       19.633       11.799       13.828       17.141       18.263       20.240     -999.000     -999.000     -999.000       19.934     -999.000     -999.000     -999.000     -999.000     -999.000       20.240      140.372       18.596       18.753       19.826       16.126       71.327     5485.595     5098.554     6980.679     4213.456    21167.504      280.000       70.000     4969.839       16.191        1.573       15.131        1.952      142.500    26201.000     2204.143     2781.095       88.823       26.793      -46.698        0.428       -0.471       -0.129        0.180     -999.000        0.319        0.300        0.376       -0.149     -999.000       -0.783        1.896       12.662       -0.524       11.664       12.664       25.000        6.000        0.000
195201        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000       15.192       13.558       16.355       13.914       15.091       12.969       19.852     -999.000       14.187       19.852       14.428     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000        0.000       18.606       19.393       18.786       17.634       72.488     5686.708     4685.091     5441.559     3732.845    19020.348      280.000       70.000     4993.226       13.228        3.279       12.800        4.358      135.500    25560.938     2164.547     2658.363      121.289       14.036      -50.086        0.045       -0.537       -0.363        0.130        0.339       -0.353       -0.066       -0.275        0.089     -999.000       -3.316       -0.059       14.590        1.747       12.837       12.779       30.000        1.000        0.000
195202        2.005        0.000        0.000        0.000        2.005        0.000        0.000        0.000        0.000        0.000        2.005       26.436        0.000        0.000        0.000       26.436        0.000        0.000        0.000        0.000        0.000       26.436       16.618       12.617       13.946       12.841       16.069       12.540       15.062       12.925       15.404       14.684       16.618       18.386     -999.000     -999.000     -999.000       18.179     -999.000     -999.000     -999.000     -999.000     -999.000       18.386      131.191       18.639       20.259       19.737       17.190       74.013     4911.846     6341.354     5421.196     3401.899    19614.541      277.500       72.500     5017.552        5.441        7.556        3.362        7.189      140.500    25610.207     2157.733     2635.896       96.696      -11.887      -18.260       -0.462        0.179       -0.561        0.260       -0.450       -0.549       -0.187       -0.232       -0.072     -999.000       -4.290       -0.428       13.583        2.625       11.760       10.167       23.000        6.000        0.000
195203        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000       14.009       12.923       14.720       12.186       15.471       11.217       16.716       14.454       14.684       15.702       13.658     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000        0.000       19.657       19.019       20.259       19.398       76.144     5019.601     4862.225     4625.679     3588.726    17609.730       90.000       85.000     5043.903       10.243        3.407       10.888        3.942      142.500    26278.518     2169.744     2735.913       74.085       -8.940      -33.992       -0.420       -0.204       -0.027        0.059       -0.226        0.189     -999.000        0.018        0.025     -999.000       -2.617        0.943        7.492        2.948       11.021        7.357       29.000        2.000        0.000
195204        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000       14.778       14.229       14.029       14.882       14.826       16.023       14.297       13.275       14.342       13.851       15.813     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000        0.000       18.491       19.622       16.143       12.624       65.112     3663.194     4419.364     3014.842     2145.807    12893.340      195.000       82.500     5136.433       12.384        2.324       13.064        1.201      147.000    26958.732     2400.270     3106.194      124.819        4.311      -37.769        0.149        0.116        0.157        0.193       -0.488        0.125     -999.000        0.160        0.168     -999.000       -0.382        2.060       -1.440        0.939        9.085        7.895       29.000        1.000        0.000
195205        1.249        1.542        1.542        0.000        0.000        0.000        0.000        0.000        0.000        0.074        0.000       14.774       18.543       18.543        0.000        0.000        0.000        0.000        0.000        0.000        0.739        0.000       17.785       17.792       17.792       18.709       18.703       17.692       17.021       15.663       15.163     -999.000       19.757       19.640       19.768       19.768     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000       17.500     -999.000        0.000       15.878       18.748       17.277       14.655       64.882     2789.606     2987.319     1794.029     1561.317     8893.665      105.000       77.500     5306.645       11.033        1.862       12.572        1.893      151.500    27408.420     2417.297     3177.581       92.703       -6.340      -35.454       -0.446        0.092       -0.287        0.309        0.154       -0.243     -999.000       -0.471       -0.058     -999.000        0.234        2.546        1.813        1.914       10.628       11.828       31.000        0.000        0.000
195206       33.632        7.941       21.618        0.000        8.007        4.555        8.443        4.439        0.000       14.040       12.840      709.683      224.285      481.374        0.000      184.578       75.841      170.266       71.652        0.000      266.215      264.246       25.812       26.871       25.542       29.565       24.472       28.443       27.979       19.956       20.792       24.608       26.469       30.641       31.147       30.736     -999.000       28.533       32.600       33.942       25.358     -999.000       30.358       30.852      128.312       17.116       19.019       16.913       14.160       65.479     1788.676     2829.662     2505.733     1747.743     8660.078      175.000       55.000     5405.933        9.093        3.155        8.185        1.741      162.000    27585.336     2484.774     3347.324       46.773       -0.940      -30.718       -0.377        0.195       -0.188        0.408       -0.075        0.223     -999.000       -0.684       -0.160     -999.000       -0.907        1.076        1.046        1.589       11.104       12.648       30.000        0.000        0.000
195207       38.903        6.862       28.414        0.000        4.061        6.455       13.673        6.902        0.000       21.976       10.717     1070.779      196.210      883.172        0.000       78.627      117.581      490.440      171.569        0.000      697.004      199.057       30.367       28.997       29.499       34.869     -999.000       31.432       32.496       25.863       33.166       29.614       31.673       36.111       34.694       37.517     -999.000       28.566       33.022       41.221       35.944     -999.000       38.734       33.994      149.231       13.732       14.694       13.804       11.882       52.811     1300.360     1571.824     2352.059     1598.319     6671.462      130.000       87.500     5417.709        7.472        3.123        6.249        2.634      144.500    28632.418     2513.228     3457.208       26.802        3.508      -16.981        0.049       -0.434       -0.121        0.133        0.061       -0.103     -999.000        0.125        0.112     -999.000       -0.885        0.442        0.790        1.901       11.285       13.354       31.000        0.000        0.000
195208       34.494        4.890       24.144        0.000        5.501        4.844       11.965        6.397        0.000       19.531       10.563      793.157      122.720      632.273        0.000       70.810       89.418      347.874      140.707        0.000      515.169      162.602       28.686       29.518       30.742       29.969       29.288       24.681       31.335       31.351       29.139       31.117       26.221       33.534       34.380       36.847     -999.000       32.751       28.137       38.270       37.634     -999.000       37.701       29.637      127.047       14.493       14.906       15.252       15.293       58.429     1656.299     1793.503     2667.046     2602.371     8513.810       15.000       82.500     5360.548       10.206        1.685        8.361        1.933      163.500    28504.453     2513.467     3431.157       19.146       -0.728      -14.927       -0.132        0.139       -0.502        0.073        0.584        0.265     -999.000        0.028        0.168        0.085        0.212        0.808       -1.436        0.695       11.066       13.128       31.000        0.000        0.000
