                  1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16
195405     -999.000        1.000        1.000        1.200        0.800     -999.000     -999.000       -1.410        1.680      -11.380     -999.000      680.000     -999.000     -999.000     -999.000       -0.510
195406     -999.000        0.000        0.000        0.400        0.200     -999.000     -999.000       -1.700        1.200      -12.720     -999.000      673.000     -999.000     -999.000     -999.000       -0.300
195407     -999.000        1.000        0.000        7.300        0.700     -999.000     -999.000       -1.030        0.390      -13.400     -999.000      677.000     -999.000     -999.000     -999.000       -0.510
195408     -999.000        6.000        2.000       12.600        1.800     -999.000     -999.000       -1.160       -0.860      -14.530     -999.000      699.000     -999.000     -999.000     -999.000        0.050
195409     -999.000        6.000        1.000        2.300        0.300     -999.000     -999.000       -0.710       -1.250      -12.830     -999.000      701.000     -999.000     -999.000     -999.000        0.490
195410     -999.000        4.000        0.000       10.500        0.400     -999.000     -999.000       -2.300       -1.690      -10.350     -999.000      732.000     -999.000     -999.000     -999.000        0.380
195411     -999.000        3.000        1.000       13.400        0.200     -999.000     -999.000       -2.110       -1.600       -9.990     -999.000      726.000     -999.000     -999.000     -999.000        0.140
195412     -999.000        1.000        0.000       11.300        2.300     -999.000     -999.000       -1.280       -1.070       -9.560     -999.000      755.000     -999.000     -999.000     -999.000       -0.070
195501     -999.000        1.000        0.000       33.400       -0.900     -999.000     -999.000       -1.820        0.630       -5.820     -999.000      843.000     -999.000     -999.000     -999.000       -1.100
195502     -999.000        1.000        0.000       29.900        3.100     -999.000     -999.000       -0.680        1.620       -1.710     -999.000      820.000     -999.000     -999.000     -999.000       -1.240
195503     -999.000        1.000        0.000        7.300        1.100     -999.000     -999.000        0.030        1.030        1.370     -999.000      748.000     -999.000     -999.000     -999.000       -1.160
195504     -999.000        1.000        0.000       16.400       -0.200     -999.000     -999.000       -0.580        1.950        4.400     -999.000      773.000     -999.000     -999.000     -999.000       -1.290
195505     -999.000        0.000        0.000       41.300        1.700     -999.000     -999.000        0.570        1.610        6.580     -999.000      828.000     -999.000     -999.000     -999.000       -1.070
195506     -999.000        2.000        2.000       45.200        2.200     -999.000     -999.000        1.760        2.140        6.730     -999.000      888.000     -999.000     -999.000     -999.000       -0.660
195507     -999.000        6.000        0.000       38.200        2.600     -999.000     -999.000        0.720        2.700        5.990     -999.000      873.000     -999.000     -999.000     -999.000       -0.940
195508     -999.000        7.000        1.000       58.000        2.400     -999.000     -999.000        0.510        3.050        7.200     -999.000      907.000     -999.000     -999.000     -999.000       -1.040
195509     -999.000        3.000        1.000       60.800        2.200     -999.000     -999.000        1.590        2.930        8.160     -999.000      951.000     -999.000     -999.000     -999.000       -0.740
195510     -999.000        4.000        0.000       83.000        2.500     -999.000     -999.000        1.500        3.550        9.020     -999.000     1118.000     -999.000     -999.000     -999.000       -0.950
195511     -999.000        1.000        0.000      126.300        2.000     -999.000     -999.000       -0.320        4.250        7.630     -999.000     1300.000     -999.000     -999.000     -999.000       -1.580
195512     -999.000        1.000        0.000      108.800        1.600     -999.000     -999.000       -0.550        4.570        3.820     -999.000     1346.000     -999.000     -999.000     -999.000       -1.410
195601     -999.000        0.000        0.000      104.100        2.200     -999.000     -999.000        0.250        4.380       -1.010     -999.000     1412.000     -999.000     -999.000     -999.000       -1.660
195602     -999.000        0.000        0.000      175.600        2.700     -999.000     -999.000        0.620        3.560       -3.230     -999.000     1672.000     -999.000     -999.000     -999.000       -1.440
195603     -999.000        1.000        0.000      167.700        2.200     -999.000     -999.000        0.250        2.500       -2.010     -999.000     1606.000     -999.000     -999.000     -999.000       -0.900
195604     -999.000        2.000        0.000      156.700        1.500     -999.000     -999.000        1.060        2.020       -2.010     -999.000     1659.000     -999.000     -999.000     -999.000       -1.080
195605     -999.000        0.000        0.000      193.400        2.300     -999.000     -999.000        1.280        0.160       -6.160     -999.000     1634.000     -999.000     -999.000     -999.000       -0.060
195606     -999.000        2.000        1.000      165.100        1.800     -999.000     -999.000        1.330       -1.400      -11.020     -999.000     1540.000     -999.000     -999.000     -999.000        0.670
195607     -999.000        3.000        2.000      182.700        1.800     -999.000     -999.000        0.890       -0.470      -13.040     -999.000     1628.000     -999.000     -999.000     -999.000        0.280
195608     -999.000        5.000        1.000      240.200        2.000     -999.000     -999.000        1.060       -0.250      -15.170     -999.000     1938.000     -999.000     -999.000     -999.000       -0.040
195609     -999.000        5.000        3.000      245.400        0.100     -999.000     -999.000        0.290       -0.670      -14.670     -999.000     2009.000     -999.000     -999.000     -999.000        0.370
195610     -999.000        1.000        0.000      219.900        2.900     -999.000     -999.000        0.010        0.050      -14.900     -999.000     2016.000     -999.000     -999.000     -999.000       -0.090
195611     -999.000        3.000        0.000      285.000        0.200     -999.000     -999.000       -0.180        0.390      -16.960     -999.000     2504.000     -999.000     -999.000     -999.000       -0.310
195612     -999.000        1.000        0.000      272.000        1.800     -999.000     -999.000        0.860        0.740      -15.020     -999.000     2537.000     -999.000     -999.000     -999.000       -0.360
195701     -999.000        2.000        0.000      233.700        1.000     -999.000     -999.000        0.690       -1.030      -13.050     -999.000     2312.000     -999.000     -999.000     -999.000        0.250
195702     -999.000        0.000        0.000      184.500       -0.100     -999.000     -999.000       -0.430       -2.240      -11.890     -999.000     1867.000     -999.000     -999.000     -999.000        0.410
195703     -999.000        0.000        0.000      222.800        0.300     -999.000     -999.000       -0.950       -1.540       -6.680     -999.000     1978.000     -999.000     -999.000     -999.000       -0.070
195704     -999.000        1.000        0.000      248.000        0.400     -999.000     -999.000       -0.020       -2.320       -2.010     -999.000     2000.000     -999.000     -999.000     -999.000        0.040
195705     -999.000        1.000        0.000      233.000       -1.100     -999.000     -999.000        0.230       -1.400        1.800     -999.000     2085.000     -999.000     -999.000     -999.000        0.450
