                  1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26
195303        0.738        0.364       -0.164        0.326       -0.405        0.132       -0.058       -0.200        0.190       -0.358       -0.657       -0.001       19.221       13.213       17.459       12.032       -0.122        0.295        0.518        0.047       -0.138        0.364       -0.164       -0.368        0.313        0.614
195304        1.471        0.254        0.036        0.316       -0.454        0.226       -0.532       -0.511        0.298       -0.142       -0.794        0.292       22.272       23.022       18.307       13.264        0.026       -0.010        0.163       -0.494       -0.007        0.240       -0.066       -0.400       -0.127        0.408
195305        1.110        0.229        0.168        0.462       -0.442        0.280       -1.132       -0.354        0.300       -0.164       -0.526       -0.001       20.380       22.431       19.908       14.571        0.187        0.082        0.121       -1.021        0.137        0.161        0.077       -0.392        0.526        0.688
195306        0.424        0.383        0.349        0.524       -0.334        0.388       -0.582       -0.488        0.374       -0.130       -0.462        0.676       14.397       11.881       22.410       19.415        0.019       -0.414       -0.194       -0.498        0.350        0.244        0.195       -0.470        0.115        0.982
195307        0.028        0.060        0.108        0.247       -0.317        0.137       -0.385       -0.652        0.076       -0.162       -0.415        0.725        8.363        4.942       23.771       20.516        0.028       -1.634       -0.707       -0.355        0.353        0.017        0.084       -0.541       -0.096        0.739
195308        0.207       -0.028       -0.074        0.098       -0.323       -0.046       -0.237       -0.540       -0.021       -0.142       -0.414       -0.153        6.209        4.003       23.921       18.265       -0.207       -0.000        0.460       -0.351        0.172        0.002       -0.063       -0.596        0.112        0.268
195309        0.359        0.262       -0.346        0.272       -0.644        0.042        0.573       -0.696        0.025       -0.212       -0.333        0.749        4.174        3.188       25.124       18.106       -0.034        0.336        0.367        0.446       -0.041        0.262       -0.346       -0.740        0.144        0.405
195310       -0.182        0.152        0.018        0.195       -0.369        0.005       -0.071       -0.707        0.061       -0.254       -0.294        0.460        5.561        3.033       23.865       19.247       -0.102        1.139        0.611       -0.008        0.201        0.144       -0.043       -0.611       -0.016        0.334
195311       -0.185        0.115        0.024        0.249       -0.421       -0.047       -0.165       -0.516        0.046       -0.172       -0.509        1.183        6.174        1.716       24.438       18.112        0.112       -0.332       -0.142       -0.061        0.234        0.106       -0.022       -0.461        0.179        0.192
195312       -0.634        0.230        0.128        0.442       -0.356        0.110       -0.157       -0.356        0.095       -0.149       -0.850       -0.048       12.020        3.644       19.675       17.469        0.099       -0.286       -0.435       -0.142        0.315        0.179        0.036       -0.329        0.138       -0.463
195401       -1.815       -0.169        0.119        0.419       -0.403       -0.043        0.409       -0.519       -0.231       -0.203       -0.857        0.000        8.447        2.800       18.966       12.851        0.052        0.550        0.319        0.484        0.668       -0.169        0.119       -0.391       -0.237       -0.612
195402       -1.118       -0.136        0.070        0.278       -0.270       -0.115        0.123       -0.409       -0.159       -0.440       -0.924       -0.049       15.384        6.598       18.557       14.199       -0.083        0.553        0.414        0.110        0.558       -0.136        0.070       -0.320        0.069       -0.247
195403       -1.220       -0.591       -0.239       -0.334       -0.468       -0.358        0.208       -0.465       -0.516       -0.644       -0.894       -0.194       20.035       13.100       18.006       13.121       -0.123        0.705        0.567        0.236        0.322       -0.496       -0.002       -0.395        0.264       -0.298
195404       -2.890       -1.859       -0.539       -1.067       -0.468       -1.024        0.121       -0.486       -1.435       -0.541       -0.781       -0.686       21.506       19.862       17.982       15.117       -0.224        0.924        0.760        0.198        0.568       -1.643        0.204       -0.540        0.305        0.189
195405       -2.708       -1.543       -0.541       -0.700       -0.611       -1.024        0.699       -0.581       -1.263       -0.212       -0.974       -0.539       18.565       19.340       19.529       13.736       -0.126        0.060        0.289        0.810        0.697       -1.326        0.076       -0.617        0.128        0.560
195406       -2.253       -1.465       -0.616       -0.803       -0.528       -1.095        0.140       -0.677       -1.206       -0.350       -1.065       -1.359       13.281       10.367       20.431       17.793       -0.171       -0.914       -0.751        0.170        0.530       -1.218       -0.030       -0.615       -0.088        0.272
195407       -2.676       -1.355       -0.911       -1.073       -0.360       -1.200       -0.371       -0.915       -1.319       -0.612       -1.252       -0.251        7.088        4.143       22.463       22.036       -0.278        0.050        0.522       -0.320        0.204       -0.991       -0.369       -0.746       -0.451        0.624
195408       -1.635       -1.541       -1.012       -1.415       -0.260       -1.266       -0.051       -0.863       -1.336       -0.715       -0.947       -1.726        4.072        3.381       24.631       23.249       -0.389       -0.372        0.042       -0.055       -0.019       -1.136       -0.396       -0.692       -0.454        0.165
195409       -1.668       -1.748       -1.160       -1.615       -0.433       -1.379       -0.038       -1.022       -1.500       -0.608       -0.700       -1.534        3.107        2.610       23.465       18.551       -0.376        0.609        0.657       -0.059        0.088       -1.284       -0.461       -0.838       -0.649        0.209
195410       -2.043       -1.628       -1.345       -1.449       -0.566       -1.442        0.019       -1.192       -1.558       -0.543       -0.481       -4.081        1.994        1.099       22.829       18.660       -0.238       -0.896       -0.469       -0.036       -0.006       -1.090       -0.694       -0.907       -0.686        0.385
195411       -1.458       -1.386       -1.019       -1.064       -0.676       -1.255       -0.032       -0.905       -1.245       -0.508       -0.489       -1.009        1.645        0.588       22.625       15.185       -0.244       -0.796       -1.104       -0.048       -0.006       -0.978       -0.465       -0.876       -0.066        1.292
195412       -1.530       -1.513       -1.140       -1.303       -0.760       -1.490       -0.118       -0.830       -1.363       -0.675       -0.664       -0.240        1.704        0.684       16.596        9.712       -0.197        0.029       -0.293       -0.190        0.043       -1.057       -0.534       -0.783       -0.242        1.008
195501       -0.820       -0.865       -0.827       -0.938       -0.479       -1.079       -0.547       -0.453       -0.844       -0.178       -0.748        0.000       13.099        6.497       15.885       12.552       -0.038        0.129       -0.235       -0.568       -0.087       -0.535       -0.480       -0.351       -0.370       -0.029
195502       -1.060       -0.711       -0.985       -0.935       -0.557       -0.889       -0.182       -0.841       -0.861       -0.283       -0.884       -0.049       11.778        4.427       15.067       10.060       -0.172        1.070        0.593       -0.178       -0.274       -0.317       -0.701       -0.611       -0.435       -0.078
195503       -1.308       -0.861       -1.107       -1.015       -0.686       -0.998        0.495       -0.704       -1.010       -0.382       -0.847       -0.243       18.644        8.385       13.768        7.581       -0.208        0.973        0.790        0.485       -0.222       -0.418       -0.763       -0.634       -0.003        0.213
195504       -1.203       -1.203       -0.888       -1.107       -0.822       -1.132        0.741       -0.856       -1.075       -0.278       -0.843       -1.465       20.557       14.236       15.308        6.945       -0.241        1.271        1.187        0.726        0.036       -0.848       -0.406       -0.737        0.011        0.108
195505       -1.940       -1.718       -0.936       -1.159       -1.000       -1.306        0.570       -1.251       -1.424       -0.363       -0.604       -0.733       16.869       11.393       15.797        7.605       -0.062        0.024        0.456        0.514        0.369       -1.343       -0.249       -0.971       -0.484        0.205
